0 |msg 0 |len 0 |desc? False | ' / '
1 |msg 8 |len 11 |desc? False | 'Ornate Ring / '
2 |msg 9 |len 12 |desc? False | 'Psychic Ring / '
3 |msg 10 |len 11 |desc? False | 'Memory Ring / '
4 |msg 11 |len 12 |desc? False | 'Samurai Ring / '
5 |msg 14 |len 16 |desc? False | 'Holy Symbol Ring / '
6 |msg 30 |len 6 |desc? False | "Mage's"
7 |msg 31 |len 5 |desc? False | 'Boots / '
8 |msg 32 |len 13 |desc? False | 'Stamina Boots / '
9 |msg 33 |len 13 |desc? False | 'Mercury Boots / '
10 |msg 34 |len 12 |desc? False | 'Coward Boots / '
11 |msg 35 |len 12 |desc? False | 'Cursed Boots / '
12 |msg 36 |len 5 |desc? False | 'Cloak / '
13 |msg 37 |len 12 |desc? False | 'Poison Cloak / '
14 |msg 38 |len 11 |desc? False | 'Flame Cloak / '
15 |msg 39 |len 12 |desc? False | 'Bishop Cloak / '
16 |msg 40 |len 9 |desc? False | 'Ice Cloak / '
17 |msg 41 |len 16 |desc? False | 'Anti-Magic Cloak / '
18 |msg 42 |len 12 |desc? False | 'Cursed Cloak / '
19 |msg 43 |len 16 |desc? False | 'Demon King Cloak / '
20 |msg 44 |len 16 |desc? False | 'Haborym Leg Chip / '
21 |msg 45 |len 13 |desc? False | 'Shax Leg Chip / '
22 |msg 46 |len 15 |desc? False | 'Gomory Leg Chip / '
23 |msg 47 |len 14 |desc? False | 'Foras Leg Chip / '
24 |msg 48 |len 18 |desc? False | 'Decarabia Leg Chip / '
25 |msg 49 |len 15 |desc? False | 'Furfur Leg Chip / '
26 |msg 102 |len 4 |desc? False | 'Robe / '
27 |msg 103 |len 10 |desc? False | 'Magus Robe / '
28 |msg 104 |len 8 |desc? False | 'Elf Robe / '
29 |msg 105 |len 10 |desc? False | 'Ninja Garb / '
30 |msg 106 |len 12 |desc? False | 'Rebirth Robe / '
31 |msg 107 |len 11 |desc? False | "Sage's Robe / "
32 |msg 108 |len 11 |desc? False | 'Cursed Robe / '
33 |msg 109 |len 12 |desc? False | 'Despair Robe / '
34 |msg 110 |len 17 |desc? False | 'Blood-Soaked Robe / '
35 |msg 111 |len 13 |desc? False | 'Betrayer Robe / '
36 |msg 112 |len 13 |desc? False | 'Leather Armor / '
37 |msg 113 |len 16 |desc? False | 'Magus Hide Armor / '
38 |msg 114 |len 17 |desc? False | 'Ornate Hide Armor / '
39 |msg 115 |len 18 |desc? False | 'Phantom Hide Armor / '
40 |msg 116 |len 17 |desc? False | 'Spirit Hide Armor / '
41 |msg 117 |len 16 |desc? False | 'Faith Hide Armor / '
42 |msg 118 |len 18 |desc? False | 'Supreme Hide Armor / '
43 |msg 119 |len 17 |desc? False | 'Hayate Hide Armor / '
44 |msg 120 |len 19 |desc? False | 'Vengeful Hide Armor / '
45 |msg 121 |len 19 |desc? False | 'Betrayer Hide Armor / '
46 |msg 122 |len 15 |desc? False | "Dead Man's Hide / "
47 |msg 123 |len 17 |desc? False | 'Ruined Hide Armor / '
48 |msg 124 |len 10 |desc? False | 'Chain Mail / '
49 |msg 125 |len 16 |desc? False | 'Magus Chain Mail / '
50 |msg 126 |len 17 |desc? False | 'Dragon Chain Mail / '
51 |msg 127 |len 18 |desc? False | 'Blessed Chain Mail / '
52 |msg 128 |len 16 |desc? False | 'Ninja Chain Mail / '
53 |msg 129 |len 16 |desc? False | 'Frost Chain Mail / '
54 |msg 130 |len 14 |desc? False | 'Elf Chain Mail / '
55 |msg 131 |len 15 |desc? False | 'Evil Chain Mail / '
56 |msg 132 |len 17 |desc? False | 'Cursed Chain Mail / '
57 |msg 133 |len 16 |desc? False | 'Rusty Chain Mail / '
58 |msg 134 |len 17 |desc? False | 'Fallen Chain Mail / '
59 |msg 135 |len 16 |desc? False | 'Ghost Chain Mail / '
60 |msg 136 |len 11 |desc? False | 'Breastplate / '
61 |msg 137 |len 18 |desc? False | 'Ornate Breastplate / '
62 |msg 138 |len 18 |desc? False | 'Mystic Breastplate / '
63 |msg 139 |len 19 |desc? False | 'Warding Breastplate / '
64 |msg 140 |len 19 |desc? False | 'Warrior Breastplate / '
65 |msg 141 |len 20 |desc? False | 'Punisher Breastplate / '
66 |msg 142 |len 19 |desc? False | 'Petrify Breastplate / '
67 |msg 143 |len 17 |desc? False | 'Ghost Breastplate / '
