m423  en='Cannot accept any more'  jpchars=19 jp_glyphs~13
m557  en='Arcane Spell Book'       jpchars=14 jp_glyphs~8
m558  en='Holy Spell Book'         jpchars=13 jp_glyphs~7
m559  en='Automater Chip'          jpchars=15 jp_glyphs~9
m561  en='Self-Repair Chip'        jpchars=12 jp_glyphs~6
m578  en='Throwing Knives'         jpchars=15 jp_glyphs~9
m624  en='Lv1 Spell Book'          jpchars=12 jp_glyphs~4
m625  en='Lv2 Spell Book'          jpchars=12 jp_glyphs~4
m626  en='Lv3 Spell Book'          jpchars=12 jp_glyphs~4
m627  en='Lv4 Spell Book'          jpchars=12 jp_glyphs~4
m628  en='Lv5 Spell Book'          jpchars=12 jp_glyphs~4
m629  en='Lv6 Spell Book'          jpchars=12 jp_glyphs~4
m630  en='Lv7 Spell Book'          jpchars=12 jp_glyphs~4
m631  en='Lv1 Arcane Spell Book'   jpchars=15 jp_glyphs~7
m632  en='Lv2 Arcane Spell Book'   jpchars=15 jp_glyphs~7
m633  en='Lv3 Arcane Spell Book'   jpchars=15 jp_glyphs~7
m634  en='Lv4 Arcane Spell Book'   jpchars=15 jp_glyphs~7
m635  en='Lv5 Arcane Spell Book'   jpchars=15 jp_glyphs~7
m636  en='Lv6 Arcane Spell Book'   jpchars=15 jp_glyphs~7
m637  en='Lv7 Arcane Spell Book'   jpchars=15 jp_glyphs~7
m638  en='Lv1 Holy Spell Book'     jpchars=15 jp_glyphs~7
m639  en='Lv2 Holy Spell Book'     jpchars=15 jp_glyphs~7
m640  en='Lv3 Holy Spell Book'     jpchars=15 jp_glyphs~7
m641  en='Lv4 Holy Spell Book'     jpchars=15 jp_glyphs~7
m642  en='Lv5 Holy Spell Book'     jpchars=15 jp_glyphs~7
m643  en='Lv6 Holy Spell Book'     jpchars=15 jp_glyphs~7
m644  en='Lv7 Holy Spell Book'     jpchars=15 jp_glyphs~7
