39:444 | JP=サレム教会[0390]教活動[FFFE] | EN=Salem Work
39:447 | JP=クレタの騎法団長方[FFFE] | EN=Kreta Book
39:448 | JP=集え、ジャンケン小神 [FFFE] | EN=Janken Mstr
39:451 | JP=古古王戦の秘宝[FFFE] | EN=Royal Hoard
39:473 | JP=開神に[03D6]かれた人にあいたい[FFFE] | EN=Possessed
39:500 | JP=spによってフロア[0319]から[FFFE]開神の気配が除えた [FFFE] | EN=The presence of death
has vanished from this
floor due to SP.
39:503 | JP=騎力・騎[FFFE] | EN=Magic Mastery: Arcane
39:504 | JP=騎力・神[FFFE] | EN=Magic Mastery: Holy
39:506 | JP=悪騎[01C5]人[FFFE] | EN=Demon Hunter
39:513 | JP=盗賊の目[FFFE] | EN=Thief Eye
39:520 | JP=騎法センス[FFFE] | EN=Magic Sense
39:525 | JP=ヴィガー商店[FFFE] | EN=Vigor General Store
39:534 | JP=冒書事ギルド[FFFE] | EN=Mage Guild
39:535 | JP=冒険者ギルド[FFFE] | EN=Adventurer's Guild
39:537 | JP=兵士団[FFFE] | EN=Soldier Corps
39:556 | JP=騎法団[FFFE] | EN=Spell Book
39:557 | JP=騎事持騎法騎法団[FFFE] | EN=Arcane Spell Book
39:558 | JP=神聖騎法騎法団[FFFE] | EN=Holy Spell Book
39:624 | JP=lv１騎法団[FFFE] | EN=Lv1 Spell Book
39:625 | JP=lv２騎法団[FFFE] | EN=Lv2 Spell Book
39:626 | JP=lv３騎法団[FFFE] | EN=Lv3 Spell Book
39:627 | JP=lv４騎法団[FFFE] | EN=Lv4 Spell Book
39:628 | JP=lv５騎法団[FFFE] | EN=Lv5 Spell Book
39:629 | JP=lv６騎法団[FFFE] | EN=Lv6 Spell Book
39:630 | JP=lv７騎法団[FFFE] | EN=Lv7 Spell Book
39:631 | JP=lv１騎事持騎法団[FFFE] | EN=Lv1 Arcane Spell Book
39:632 | JP=lv２騎事持騎法団[FFFE] | EN=Lv2 Arcane Spell Book
39:633 | JP=lv３騎事持騎法団[FFFE] | EN=Lv3 Arcane Spell Book
39:634 | JP=lv４騎事持騎法団[FFFE] | EN=Lv4 Arcane Spell Book
39:635 | JP=lv５騎事持騎法団[FFFE] | EN=Lv5 Arcane Spell Book
39:636 | JP=lv６騎事持騎法団[FFFE] | EN=Lv6 Arcane Spell Book
39:637 | JP=lv７騎事持騎法団[FFFE] | EN=Lv7 Arcane Spell Book
39:638 | JP=lv１騎事持騎法団[FFFE] | EN=Lv1 Holy Spell Book
39:639 | JP=lv２騎事持騎法団[FFFE] | EN=Lv2 Holy Spell Book
39:640 | JP=lv３騎事持騎法団[FFFE] | EN=Lv3 Holy Spell Book
39:641 | JP=lv４騎事持騎法団[FFFE] | EN=Lv4 Holy Spell Book
39:642 | JP=lv５騎事持騎法団[FFFE] | EN=Lv5 Holy Spell Book
39:643 | JP=lv６騎事持騎法団[FFFE] | EN=Lv6 Holy Spell Book
39:644 | JP=lv７騎事持騎法団[FFFE] | EN=Lv7 Holy Spell Book
39:651 | JP=パーティランクが除店しました [FFFE][FF01]aaが使息できなくなりました [FFF0][FFFE] | EN=A party rank has been
removed!
[AA] can no longer be used.
