id,exe_offset,glyph_id_1,glyph_id_2,japanese,context,english,strategy
0,0x3C3000,683,684,酒場,town_hub - tavern,tavern,tile_pair
1,0x3C3038,685,686,ギルド,town_hub - guild,guild,tile_pair
2,0x3C3070,687,688,商店,town_hub - shop,shop,tile_pair
3,0x3C30A8,689,690,宿屋,town_hub - inn,inn,abbrev
4,0x3C30E0,691,692,教会,town_hub - church,church,tile_pair
5,0x3C3118,693,694,迷宮,town_hub - labyrinth,maze,abbrev
6,0x3C3150,695,696,冒険,town_hub - adventure,venture,tile_pair
7,0x3C3188,697,698,依頼,town_hub - quest,quest,tile_pair
8,0x3C31C0,699,700,広場,town_hub - plaza,plaza,tile_pair
9,0x3C31F8,701,702,刻印,town_hub - seal/mark,seal,abbrev
10,0x3C3230,703,704,予定,guild - available/schedule,ready,tile_pair
11,0x3C3268,705,706,登,banner - 登(register) EXE-patched,reg,skip
12,0x3C32A0,707,708,録,banner - 録(record) EXE-patched,.,skip
13,0x3C32D8,709,710,必要,guild - required,needed,tile_pair
14,0x3C3310,711,712,値段,guild - cost/price,cost,abbrev
15,0x3C3348,713,714,名前,guild - name,name,abbrev
16,0x3C3380,715,716,高低,guild - level sort,level,tile_pair
17,0x3C33B8,717,718,誕生,guild - create char,create,tile_pair
18,0x3C33F0,719,720,新,banner - 新(new) EXE-patched,new,skip
19,0x3C3428,721,722,規,banner - 規(rule) EXE-patched,  ,skip
20,0x3C3460,723,724,結果,guild - result/release,result,tile_pair
21,0x3C3498,725,726,神殿,guild - temple/refuge,temple,tile_pair
22,0x3C34D0,727,728,聖入,church - enter holy land,enter,tile_pair
23,0x3C3508,729,730,冒険振,guild - assign adventure,assign,tile_pair
24,0x3C3540,731,732,職,chargen_sidebar - 職(occupation),job,abbrev
25,0x3C3578,733,734,教授,char_mgmt - instruct,teach,tile_pair
26,0x3C35B0,735,736,削除,char_mgmt - delete,delete,tile_pair
27,0x3C35E8,737,738,決定,char_mgmt - confirm,ok,abbrev
28,0x3C3620,739,740,部隊,char_mgmt - squad/base,squad,tile_pair
29,0x3C3658,741,742,本隊,char_mgmt - main party,party,tile_pair
30,0x3C3690,743,744,名前,char_mgmt - name/brand,name,abbrev
31,0x3C36C8,745,746,性,chargen_sidebar - 性(nature/sex),sex,abbrev
32,0x3C3700,747,748,別,chargen_sidebar - 別(separate),  ,abbrev
33,0x3C3738,749,750,種,chargen_sidebar - 種族(race),race,abbrev
34,0x3C3770,751,752,族,chargen_sidebar - 族(clan),  ,abbrev
35,0x3C37A8,753,754,属,chargen_sidebar - 属(belong),ali,abbrev
36,0x3C37E0,755,756,格,chargen_sidebar - 格(personality),pers,abbrev
37,0x3C3818,757,758,業,chargen_sidebar - 業(work),  ,abbrev
38,0x3C3850,759,760,性別,chargen_sidebar - gender,gender,tile_pair
39,0x3C3888,761,762,正義,char_mgmt - good alignment,good,abbrev
40,0x3C38C0,763,764,休息,char_mgmt - rest,rest,abbrev
41,0x3C38F8,765,766,年齢,status - age,age,abbrev
42,0x3C3930,767,768,内容,status - details,detail,tile_pair
43,0x3C3968,769,770,威力,status - power/difficulty,power,tile_pair
44,0x3C39A0,771,772,呪い,status - curse,curse,tile_pair
45,0x3C39D8,773,774,活動,status - active,active,tile_pair
46,0x3C3A10,775,776,回復,status - recovery,recover,tile_pair
47,0x3C3A48,777,778,特殊,status - special,special,tile_pair
48,0x3C3A80,779,780,経験,status - experience,exp,abbrev
49,0x3C3AB8,781,782,戦闘系,status - combat type,combat,tile_pair
50,0x3C3AF0,783,784,消失,status - vanish/lost,lost,abbrev
51,0x3C3B28,785,786,性格依,status - trait/personality,trait,tile_pair
52,0x3C3B60,787,788,覚醒,battle - attack/engage,attack,tile_pair
53,0x3C3B98,789,790,退却,battle - retreat,retreat,tile_pair
54,0x3C3BD0,791,792,打撃,battle - strike,strike,tile_pair
55,0x3C3C08,793,794,発動,battle - cast spell,cast,abbrev
56,0x3C3C40,795,796,罠,battle - trap,trap,abbrev
57,0x3C3C78,797,798,離脱,battle - flee/escape,flee,abbrev
59,0x3C3CE8,799,800,入替,dungeon - swap/reorder,swap,abbrev
61,0x3C3D58,801,802,記録,dungeon - log/record,log,abbrev
62,0x3C3D90,803,804,全般,dungeon - general,general,tile_pair
64,0x3C3E00,805,806,迷宮,dungeon - labyrinth,maze,abbrev
65,0x3C3E38,807,808,深傷,dungeon - wound,wound,tile_pair
67,0x3C3EA8,809,810,限界,dungeon - limit,limit,tile_pair
68,0x3C3EE0,811,812,勇気,dungeon - morale,morale,tile_pair
70,0x3C3F50,813,814,嘆願,item_equip - petition,plea,abbrev
71,0x3C3F88,815,816,環境,item_equip - environment,environ,tile_pair
73,0x3C3FF8,817,818,危険,item_equip - danger,danger,tile_pair
74,0x3C4030,819,820,刻印,item_equip - engrave,engrave,tile_pair
75,0x3C4068,821,822,防護,church - protect,protect,tile_pair
76,0x3C40A0,823,824,祈祷,church - chapel/prayer,chapel,tile_pair
77,0x3C40D8,825,826,治療,church - healing,heal,abbrev
78,0x3C4110,827,828,禁止,system - forbid/silence,silence,tile_pair
79,0x3C4148,829,830,加入,system - join/voice,join,abbrev
82,0x3C41F0,831,832,所持,service - owned/possess,owned,tile_pair
83,0x3C4228,833,834,治療,service - restore/heal,restore,tile_pair
84,0x3C4260,835,836,救出,service - rescue,rescue,tile_pair
85,0x3C4298,837,838,制限,party - restrict/calm,calm,abbrev
86,0x3C42D0,839,840,詠唱,party - chant/cast,chant,tile_pair
87,0x3C4308,841,842,宿屋,inn - inn submenu,inn,abbrev
88,0x3C4340,843,844,宿泊,inn - lodging,lodge,tile_pair
91,0x3C43E8,845,846,空室,inn/gender - vacancy/room,room,abbrev
94,0x3C4490,847,848,杖棒,adventure - staff/weapon,staff,tile_pair
95,0x3C44C8,849,850,恐怖,status_effect - fear,fear,abbrev
96,0x3C4500,851,852,創造,crafting - craft/create,craft,tile_pair
97,0x3C4538,853,854,勲章,guild - medal,medal,tile_pair
98,0x3C4570,855,856,更新,inn - update/leave,update,tile_pair
99,0x3C45A8,857,858,突然,labyrinth - sudden event,event,tile_pair
101,0x3C4618,859,860,逃走,system - escape,escape,tile_pair
103,0x3C4688,861,862,草花,system - herbs,herbs,tile_pair
104,0x3C46C0,863,864,花園,system - garden,garden,tile_pair
105,0x3C46F8,865,866,挨拶,system - greeting,greet,tile_pair
106,0x3C4730,867,868,助連,personality - assist/cooperate,assist,tile_pair
107,0x3C4768,869,870,携法,party - co-op method,co-op,tile_pair
108,0x3C47A0,871,872,売礼,guild - sell/thanks,sell,abbrev
109,0x3C47D8,873,874,置願,guild - place request,setup,tile_pair
110,0x3C4810,875,876,旗錠,guild - quest flag,quest,tile_pair
111,0x3C4848,877,878,札募,guild - notice/recruit,enlist,tile_pair
112,0x3C4880,879,880,更何,guild - update/renew,update,tile_pair
113,0x3C48B8,881,882,用雑,guild - use/misc,misc,abbrev
114,0x3C48F0,883,0,教,church - church/teach submenu,ch,abbrev
115,0x3C4928,885,0,寺,church - temple submenu,tmp,abbrev
116,0x3C4B20,887,0,階,dungeon - floor/level,flr,abbrev
117,0x3C4B58,889,0,達,dungeon - attain/reached,lvl,abbrev
118,0x3C4B90,891,0,療,church - healing submenu,hel,abbrev
119,0x3C4BC8,893,0,潜,dungeon - dive/delve,div,abbrev
120,0x3C4C38,895,0,早,party - quick/early,qck,abbrev
121,0x3C4C70,897,0,嫌,preference - dislike (agi),hat,abbrev
122,0x3C4CA8,902,0,受,quest - receive/accept,rcv,abbrev
123,0x3C4CE0,904,0,商,shop - merchant,shp,abbrev
124,0x3C4D18,906,0,練,guild - train/practice,trn,abbrev
125,0x3C4D50,908,0,残,status - remaining,rem,abbrev
126,0x3C4D88,910,0,景,dungeon - scenery/view,viw,abbrev
127,0x3C4DC0,912,0,表,system - display/list,lst,abbrev
128,0x3C4DF8,914,0,集,quest - gather/collect,gth,abbrev
129,0x3C4E30,902,0,受,quest - receive (degree),rcv,abbrev
130,0x3C4E68,897,0,嫌,preference - dislike (result),hat,abbrev
131,0x3C4EA0,897,0,嫌,preference - dislike (same),hat,abbrev
132,0x3C4ED8,897,0,嫌,preference - dislike (attr),hat,abbrev
133,0x3C4F10,897,0,嫌,preference - dislike (action),hat,abbrev
134,0x3C4F48,908,0,残,status - remaining (effect),rem,abbrev
135,0x3C4F80,908,0,残,status - remaining (few),rem,abbrev
136,0x3C4FB8,908,0,残,status - remaining (count),rem,abbrev
137,0x3C4FF0,908,0,残,status - remaining (equip),rem,abbrev
138,0x3C5098,916,0,跡,dungeon - ruins/trace,rns,abbrev
139,0x3C50D0,918,0,遠,dungeon - far/distant,far,abbrev
140,0x3C5108,920,0,待,party - wait,wai,abbrev
141,0x3C5140,910,0,景,dungeon - scenery (dup),viw,abbrev
142,0x3C5178,922,65535,実,battle - actual/real,act,abbrev
143,0x3C51B0,923,65535,戦,battle - battle/war,war,abbrev
144,0x3C51E8,924,65535,,battle - unknown (g924),  ,skip
145,0x3C5220,925,65535,報,reward - report,rpt,abbrev
146,0x3C5258,926,0,酬,reward - compensation,rwd,abbrev
147,0x3C5290,928,0,設,system - setup/config,set,abbrev
148,0x3C52C8,930,0,取,system - take/obtain,get,abbrev
stat_346,0x000000,346,0,,stat_label (shared:VIT3),str,abbrev
stat_535,0x000000,535,0,,stat_label,in,abbrev
stat_717,0x000000,717,0,,stat_label,t,abbrev
stat_308,0x000000,308,0,,stat_label,f,abbrev
stat_354,0x000000,354,0,,stat_label,t,abbrev
stat_320,0x000000,320,0,,stat_label,h,abbrev
stat_718,0x000000,718,0,,stat_label,vi,abbrev
stat_696,0x000000,696,0,,stat_label,t,abbrev
stat_582,0x000000,582,0,,stat_label,ag,abbrev
stat_719,0x000000,719,0,,stat_label,i,abbrev
stat_590,0x000000,590,0,,stat_label,deg,abbrev
stat_720,0x000000,720,0,,stat_label,lc,abbrev
stat_721,0x000000,721,0,,stat_label,k,abbrev
gender_male,0x000000,672,0,男,gender value - male,♂,symbol
gender_female,0x000000,673,0,女,gender value - female,♀,symbol
gender_female2,0x000000,673,0,女,gender value - female (alt),♀,symbol
stat_511,0x000000,511,0,,stat_label (shared:gender+align+pers),sex,abbrev
stat_512,0x000000,512,0,,stat_label,sex,abbrev
stat_515,0x000000,515,0,,stat_label,algn,abbrev
stat_516,0x000000,516,0,,stat_label,pers,abbrev
stat_504,0x000000,504,0,,stat_label (chargen sidebar class byte50),job,abbrev
stat_513,0x000000,513,0,,stat_label (chargen sidebar race byte50),race,abbrev
stat_514,0x000000,514,0,,stat_label (chargen sidebar race byte50-2),  ,abbrev
stat_517,0x000000,517,0,,stat_label (chargen sidebar class byte50-2),  ,abbrev
