RAW_OFFSET,PNG_OFFSET,RAW_X,RAW_Y,PNG_X,PNG_Y
2209,1743,161,8,207,6
2210,1744,162,8,208,6
2211,1745,163,8,209,6
2225,2760,177,8,200,10
2226,2761,178,8,201,10
2227,2762,179,8,202,10
2229,2796,181,8,236,10
2230,2797,182,8,237,10
2231,2798,183,8,238,10
2237,4720,189,8,112,18
2238,4721,190,8,113,18
2239,4722,191,8,114,18
2240,4723,192,8,115,18
2241,4724,193,8,116,18
2242,4725,194,8,117,18
2243,4726,195,8,118,18
2244,4727,196,8,119,18
2245,4728,197,8,120,18
2246,4729,198,8,121,18
2247,4730,199,8,122,18
2248,4731,200,8,123,18
2249,4732,201,8,124,18
2250,4733,202,8,125,18
2251,4734,203,8,126,18
2252,4735,204,8,127,18
2253,4736,205,8,128,18
2254,4737,206,8,129,18
2255,4738,207,8,130,18
2261,1366,213,8,86,5
2262,1367,214,8,87,5
2263,1368,215,8,88,5
2264,1369,216,8,89,5
2265,1370,217,8,90,5
2266,1371,218,8,91,5
2267,1372,219,8,92,5
2268,1373,220,8,93,5
2269,1374,221,8,94,5
2270,1375,222,8,95,5
2271,1376,223,8,96,5
2272,1377,224,8,97,5
2273,1378,225,8,98,5
2274,1379,226,8,99,5
2275,1380,227,8,100,5
2276,1381,228,8,101,5
2277,1382,229,8,102,5
2278,1383,230,8,103,5
2279,1384,231,8,104,5
2280,1385,232,8,105,5
2281,1386,233,8,106,5
2282,1387,234,8,107,5
2283,1388,235,8,108,5
2284,1389,236,8,109,5
2285,1390,237,8,110,5
2286,1391,238,8,111,5
2287,1392,239,8,112,5
2288,1393,240,8,113,5
2289,1394,241,8,114,5
2290,1395,242,8,115,5
2291,1396,243,8,116,5
2292,1397,244,8,117,5
2293,1398,245,8,118,5
2294,1399,246,8,119,5
2295,1400,247,8,120,5
2296,1401,248,8,121,5
2297,1402,249,8,122,5
2298,1403,250,8,123,5
2299,1404,251,8,124,5
2300,1405,252,8,125,5
2301,1406,253,8,126,5
2302,1407,254,8,127,5
2303,1408,255,8,128,5
2304,1409,0,9,129,5
2527,1544,223,9,8,6
2528,1545,224,9,9,6
2529,1546,225,9,10,6
2530,1547,226,9,11,6
2531,1548,227,9,12,6
2532,1549,228,9,13,6
2533,1550,229,9,14,6
2534,1551,230,9,15,6
2535,1552,231,9,16,6
2536,1553,232,9,17,6
2537,1554,233,9,18,6
